id,skills,location,certification,education,skill_level,work_preference,experience
56,physician,Chicago,BLS PALS ACLS CPR NRP,Master,intermediate,night shift,4
57,physician,Los Angeles,BLS NRP PALS,Master,advanced,full-time,18
58,physician,Los Angeles,CPR,Master,advanced,part-time,1
59,physician,Philadelphia,PALS ACLS BLS CPR,Master,entry-level,full-time,19
60,physician,Los Angeles,ACLS CPR PALS NRP,Master,entry-level,day shift,2
61,physician,Chicago,BLS,Master,entry-level,part-time,12
62,physician,Philadelphia,NRP,Master,entry-level,part-time,18
63,physician,Philadelphia,BLS PALS,Master,advanced,night shift,1
64,physician,New York,CPR BLS PALS NRP,Master,intermediate,day shift,22
65,physician,Los Angeles,NRP BLS ACLS PALS,Master,advanced,full-time,4
66,physician,New York,NRP BLS PALS ACLS CPR,Master,entry-level,part-time,15
67,physician,Philadelphia,CPR ACLS PALS BLS NRP,Master,intermediate,part-time,17
68,physician,Chicago,ACLS PALS BLS NRP CPR,Master,entry-level,night shift,11
69,physician,New York,BLS NRP PALS CPR ACLS,Master,advanced,day shift,28
70,physician,Philadelphia,ACLS PALS,Master,entry-level,part-time,13
71,physician,New York,ACLS BLS NRP PALS CPR,Master,advanced,day shift,8
72,physician,New York,BLS,Master,advanced,part-time,19
73,physician,Los Angeles,PALS BLS NRP,Master,intermediate,night shift,16
74,physician,Philadelphia,PALS ACLS NRP BLS CPR,Master,entry-level,full-time,6
75,physician,Houston,PALS CPR ACLS NRP BLS,Master,intermediate,part-time,11
76,physician,New York,BLS ACLS PALS CPR,Master,entry-level,day shift,14
77,physician,New York,BLS NRP,Master,advanced,day shift,7
78,physician,Houston,NRP PALS BLS,Master,advanced,part-time,17
79,physician,New York,CPR NRP PALS ACLS BLS,Master,intermediate,night shift,10
80,physician,New York,NRP ACLS PALS CPR,Master,entry-level,day shift,25
81,physician,Houston,PALS BLS NRP CPR,Master,intermediate,day shift,25
82,physician,Houston,BLS CPR ACLS NRP,Master,advanced,night shift,27
83,physician,New York,NRP BLS,Master,entry-level,night shift,7
84,physician,Philadelphia,NRP BLS ACLS PALS,Master,advanced,night shift,22
85,physician,Philadelphia,BLS ACLS CPR NRP PALS,Master,advanced,full-time,4
86,physician,Chicago,CPR BLS ACLS PALS,Master,entry-level,night shift,21
87,physician,New York,PALS BLS ACLS,Master,entry-level,day shift,21
88,physician,Houston,NRP PALS ACLS,Master,advanced,part-time,5
89,physician,Philadelphia,NRP CPR PALS ACLS,Master,intermediate,part-time,15
90,physician,New York,BLS,Master,entry-level,full-time,9
91,physician,Los Angeles,ACLS BLS,Master,intermediate,day shift,7
92,physician,Philadelphia,BLS CPR,Master,entry-level,full-time,4
93,physician,Philadelphia,PALS ACLS CPR NRP,Master,intermediate,day shift,15
94,physician,Los Angeles,NRP ACLS,Master,intermediate,day shift,30
95,physician,Chicago,PALS,Master,intermediate,night shift,25
96,physician,Los Angeles,CPR NRP,Master,advanced,part-time,21
97,physician,Houston,NRP PALS ACLS,Master,advanced,night shift,4
98,physician,Philadelphia,PALS NRP BLS,Master,intermediate,day shift,20
99,physician,Houston,BLS NRP PALS,Master,intermediate,day shift,21
100,physician,Chicago,ACLS BLS CPR,Master,intermediate,day shift,27
101,physician,Los Angeles,PALS,Master,advanced,part-time,23
102,physician,Houston,ACLS,Master,entry-level,night shift,7
103,physician,Chicago,ACLS CPR,Master,advanced,day shift,26
104,physician,Chicago,PALS NRP,Master,intermediate,day shift,9
105,physician,Houston,BLS ACLS,Master,intermediate,day shift,11
106,physician,Philadelphia,BLS PALS,Master,advanced,full-time,19
107,physician,Philadelphia,NRP ACLS,Master,entry-level,night shift,12
108,physician,Philadelphia,ACLS PALS,Master,advanced,night shift,1
109,physician,New York,CPR ACLS PALS BLS,Master,advanced,part-time,25
110,physician,Houston,NRP BLS,Master,entry-level,full-time,2
111,physician,Chicago,ACLS CPR BLS NRP PALS,Master,entry-level,full-time,27
112,physician,Houston,CPR,Master,advanced,day shift,5
113,physician,Philadelphia,CPR PALS ACLS BLS NRP,Master,entry-level,night shift,27
114,physician,New York,ACLS NRP,Master,advanced,full-time,17
115,physician,Los Angeles,BLS NRP PALS ACLS CPR,Master,advanced,night shift,4
116,physician,Chicago,NRP,Master,entry-level,night shift,22
117,physician,Los Angeles,BLS PALS CPR ACLS NRP,Master,intermediate,day shift,16
118,physician,Los Angeles,BLS NRP CPR PALS ACLS,Master,advanced,full-time,28
119,physician,Los Angeles,PALS NRP,Master,advanced,day shift,13
120,physician,Chicago,NRP PALS ACLS BLS,Master,advanced,day shift,24
121,physician,Houston,BLS,Master,entry-level,part-time,12
122,physician,Philadelphia,BLS ACLS NRP CPR PALS,Master,intermediate,part-time,15
123,physician,New York,ACLS PALS,Master,entry-level,night shift,20
124,physician,Los Angeles,CPR PALS,Master,intermediate,full-time,4
125,physician,Los Angeles,BLS PALS,Master,advanced,full-time,4
126,physician,Los Angeles,NRP ACLS,Master,advanced,full-time,17
127,physician,New York,ACLS NRP PALS BLS,Master,entry-level,day shift,26
128,physician,Los Angeles,NRP CPR ACLS,Master,entry-level,day shift,6
129,physician,Houston,PALS NRP,Master,entry-level,night shift,14
130,physician,Chicago,BLS CPR NRP PALS,Master,advanced,day shift,29
131,physician,Chicago,PALS,Master,intermediate,full-time,17
132,physician,Houston,ACLS PALS CPR,Master,entry-level,night shift,9
133,physician,Los Angeles,PALS CPR,Master,intermediate,full-time,28
134,physician,Los Angeles,NRP ACLS CPR PALS BLS,Master,intermediate,full-time,11
135,physician,Houston,CPR PALS,Master,advanced,day shift,1
136,physician,New York,BLS CPR NRP PALS,Master,intermediate,day shift,19
137,physician,Chicago,CPR,Master,intermediate,full-time,15
138,physician,Los Angeles,NRP CPR BLS ACLS PALS,Master,intermediate,part-time,9
139,physician,Philadelphia,NRP PALS CPR BLS ACLS,Master,entry-level,night shift,21
140,physician,Los Angeles,BLS ACLS CPR,Master,entry-level,part-time,27
141,physician,Chicago,BLS,Master,entry-level,part-time,25
142,physician,Los Angeles,NRP CPR,Master,intermediate,full-time,8
143,physician,Houston,ACLS BLS,Master,entry-level,part-time,3
144,physician,Los Angeles,PALS BLS NRP CPR ACLS,Master,entry-level,part-time,24
145,physician,Philadelphia,CPR PALS BLS,Master,intermediate,part-time,25
146,physician,Philadelphia,CPR ACLS,Master,entry-level,part-time,10
147,physician,Los Angeles,CPR,Master,intermediate,day shift,23
148,physician,Philadelphia,ACLS PALS,Master,advanced,night shift,10
149,physician,Los Angeles,CPR NRP PALS ACLS,Master,advanced,part-time,21
150,physician,Philadelphia,PALS ACLS BLS CPR NRP,Master,entry-level,part-time,15
151,physician,Philadelphia,NRP BLS ACLS,Master,advanced,day shift,16
152,physician,Los Angeles,BLS NRP CPR PALS ACLS,Master,advanced,day shift,8
153,physician,Houston,PALS,Master,entry-level,night shift,17
154,physician,Los Angeles,BLS NRP CPR PALS ACLS,Master,entry-level,part-time,1
155,physician,Los Angeles,CPR BLS ACLS,Master,entry-level,part-time,15
156,physician,Los Angeles,BLS ACLS PALS,Master,advanced,full-time,1
157,physician,Los Angeles,BLS CPR NRP PALS,Master,advanced,night shift,6
158,physician,New York,BLS PALS NRP CPR ACLS,Master,advanced,part-time,24
159,physician,New York,PALS BLS CPR NRP ACLS,Master,intermediate,part-time,22
160,physician,Philadelphia,BLS,Master,entry-level,full-time,19
161,physician,Los Angeles,ACLS CPR,Master,advanced,day shift,29
162,physician,Philadelphia,BLS ACLS NRP PALS,Master,intermediate,night shift,5
163,physician,Los Angeles,PALS,Master,intermediate,full-time,30
164,physician,Los Angeles,PALS,Master,intermediate,day shift,19
165,physician,New York,NRP BLS ACLS,Master,advanced,night shift,16
166,physician,Houston,PALS NRP,Master,entry-level,day shift,24
167,physician,Houston,NRP PALS BLS ACLS CPR,Master,entry-level,part-time,3
168,physician,Chicago,CPR BLS,Master,advanced,full-time,27
169,physician,Los Angeles,NRP BLS ACLS,Master,entry-level,day shift,22
170,physician,Los Angeles,BLS NRP,Master,advanced,full-time,16
171,physician,Houston,NRP,Master,entry-level,night shift,2
172,physician,Los Angeles,CPR,Master,advanced,night shift,14
173,physician,Chicago,CPR PALS NRP,Master,entry-level,part-time,13
174,physician,New York,PALS ACLS CPR NRP BLS,Master,intermediate,day shift,6
175,physician,Los Angeles,NRP ACLS CPR,Master,entry-level,full-time,21
176,physician,Los Angeles,NRP,Master,advanced,day shift,25
177,physician,Houston,ACLS NRP BLS,Master,entry-level,day shift,21
178,physician,Los Angeles,CPR,Master,entry-level,day shift,24
179,physician,Chicago,PALS CPR NRP ACLS BLS,Master,advanced,night shift,14
180,physician,New York,NRP PALS ACLS BLS CPR,Master,entry-level,full-time,20
181,physician,Houston,NRP ACLS PALS,Master,entry-level,night shift,20
182,physician,Los Angeles,BLS,Master,advanced,day shift,29
183,physician,Philadelphia,CPR PALS NRP BLS,Master,intermediate,part-time,9
184,physician,New York,NRP,Master,entry-level,day shift,2
185,physician,Los Angeles,CPR NRP,Master,advanced,part-time,2
186,physician,Houston,ACLS PALS BLS CPR NRP,Master,advanced,full-time,5
187,physician,New York,CPR ACLS NRP PALS BLS,Master,intermediate,day shift,17
188,physician,Houston,PALS BLS NRP CPR,Master,entry-level,night shift,14
189,physician,Houston,PALS NRP,Master,entry-level,night shift,6
190,physician,Philadelphia,BLS PALS CPR,Master,advanced,part-time,3
191,physician,Houston,CPR NRP PALS BLS,Master,entry-level,part-time,15
192,physician,Los Angeles,CPR ACLS,Master,intermediate,night shift,15
193,physician,Los Angeles,CPR PALS,Master,intermediate,full-time,22
194,physician,New York,PALS CPR NRP BLS,Master,entry-level,part-time,1
195,physician,New York,BLS CPR PALS ACLS NRP,Master,intermediate,day shift,9
196,physician,Chicago,ACLS PALS NRP BLS,Master,intermediate,full-time,27
197,physician,Houston,ACLS NRP PALS BLS CPR,Master,intermediate,day shift,14
198,physician,Chicago,BLS CPR PALS NRP,Master,entry-level,day shift,6
199,physician,Chicago,NRP ACLS,Master,advanced,night shift,8
200,physician,Los Angeles,CPR,Master,intermediate,full-time,2
201,physician,Philadelphia,ACLS NRP BLS PALS,Master,intermediate,part-time,19
202,physician,Houston,ACLS PALS NRP,Master,advanced,part-time,5
203,physician,Philadelphia,NRP BLS,Master,entry-level,night shift,19
204,physician,Houston,CPR NRP ACLS BLS PALS,Master,advanced,night shift,1
205,physician,New York,BLS,Master,entry-level,night shift,20
206,physician,Philadelphia,PALS,Master,advanced,part-time,14
207,physician,Philadelphia,BLS NRP CPR ACLS PALS,Master,advanced,night shift,27
208,physician,Chicago,ACLS PALS CPR NRP,Master,advanced,night shift,12
209,physician,Los Angeles,BLS,Master,advanced,night shift,19
210,physician,Chicago,PALS ACLS,Master,advanced,full-time,22
211,physician,Houston,PALS BLS CPR,Master,entry-level,night shift,30
212,physician,New York,PALS NRP BLS,Master,advanced,full-time,14
213,physician,Philadelphia,NRP ACLS PALS,Master,entry-level,night shift,14
214,physician,New York,BLS ACLS CPR,Master,intermediate,full-time,27
215,physician,Los Angeles,BLS,Master,advanced,day shift,6
216,physician,Philadelphia,CPR ACLS PALS NRP,Master,entry-level,part-time,21
217,physician,Chicago,BLS ACLS NRP,Master,advanced,night shift,2
218,physician,Chicago,BLS,Master,entry-level,day shift,23
219,physician,New York,BLS NRP PALS ACLS,Master,intermediate,part-time,6
220,physician,Chicago,PALS BLS NRP,Master,intermediate,day shift,27
221,physician,Los Angeles,PALS BLS ACLS CPR NRP,Master,entry-level,night shift,24
222,physician,Houston,PALS NRP ACLS CPR,Master,intermediate,day shift,19
223,physician,Philadelphia,PALS CPR ACLS BLS,Master,entry-level,part-time,29
224,physician,Houston,NRP BLS ACLS CPR,Master,intermediate,full-time,7
225,physician,New York,NRP PALS ACLS BLS CPR,Master,entry-level,day shift,26
226,physician,Los Angeles,ACLS PALS CPR BLS,Master,intermediate,full-time,16
227,physician,Philadelphia,BLS,Master,entry-level,full-time,19
228,physician,Philadelphia,CPR,Master,advanced,night shift,14
229,physician,Houston,CPR NRP ACLS BLS,Master,entry-level,night shift,29
230,physician,New York,BLS PALS,Master,intermediate,day shift,18
231,physician,New York,ACLS PALS CPR BLS NRP,Master,intermediate,part-time,11
232,physician,Los Angeles,CPR PALS ACLS NRP BLS,Master,intermediate,day shift,25
233,physician,Houston,PALS,Master,entry-level,part-time,30
234,physician,Houston,CPR,Master,intermediate,full-time,6
235,physician,New York,BLS CPR PALS ACLS,Master,intermediate,day shift,26
236,physician,New York,CPR BLS PALS NRP ACLS,Master,intermediate,part-time,21
237,physician,Philadelphia,ACLS NRP BLS CPR,Master,entry-level,full-time,11
238,physician,Los Angeles,BLS ACLS CPR,Master,entry-level,night shift,25
239,physician,Los Angeles,PALS ACLS CPR BLS,Master,advanced,part-time,21
240,physician,New York,ACLS,Master,intermediate,night shift,16
241,physician,Los Angeles,CPR ACLS,Master,intermediate,day shift,5
242,physician,Chicago,BLS CPR NRP PALS,Master,advanced,full-time,23
243,physician,New York,BLS NRP,Master,entry-level,night shift,1
244,physician,Houston,PALS CPR ACLS NRP,Master,intermediate,day shift,22
245,physician,New York,CPR ACLS,Master,intermediate,part-time,3
246,physician,Chicago,BLS ACLS,Master,advanced,part-time,1
247,physician,Houston,ACLS,Master,entry-level,day shift,4
248,physician,New York,PALS BLS,Master,intermediate,full-time,26
249,physician,Los Angeles,ACLS,Master,advanced,night shift,23
250,physician,Philadelphia,ACLS NRP,Master,advanced,full-time,22
251,physician,Houston,NRP ACLS BLS CPR,Master,intermediate,night shift,4
252,physician,Los Angeles,CPR PALS,Master,advanced,day shift,26
253,physician,New York,ACLS PALS NRP,Master,advanced,night shift,23
254,physician,Houston,CPR PALS BLS NRP,Master,advanced,part-time,7
255,physician,New York,NRP CPR BLS ACLS,Master,intermediate,day shift,26
256,physician,Chicago,BLS CPR ACLS PALS NRP,Master,entry-level,day shift,14
257,physician,Chicago,ACLS CPR,Master,intermediate,night shift,5
258,physician,Los Angeles,NRP CPR BLS ACLS,Master,advanced,day shift,4
259,physician,Philadelphia,NRP ACLS CPR,Master,intermediate,day shift,12
260,physician,Chicago,PALS CPR ACLS NRP,Master,intermediate,full-time,13
261,physician,Chicago,CPR PALS ACLS NRP,Master,advanced,part-time,1
262,physician,Los Angeles,BLS PALS,Master,entry-level,night shift,4
263,physician,Los Angeles,BLS PALS,Master,intermediate,day shift,2
264,physician,Philadelphia,BLS CPR ACLS,Master,advanced,full-time,30
265,physician,Chicago,CPR NRP PALS,Master,entry-level,day shift,26
266,physician,Philadelphia,ACLS BLS PALS CPR,Master,intermediate,full-time,21
267,physician,New York,ACLS BLS,Master,intermediate,day shift,8
268,physician,Los Angeles,PALS,Master,entry-level,part-time,17
269,physician,Chicago,BLS NRP PALS,Master,entry-level,night shift,20
270,physician,Los Angeles,NRP,Master,advanced,night shift,17
271,physician,Houston,BLS NRP,Master,advanced,day shift,11
272,physician,Houston,ACLS CPR,Master,intermediate,full-time,7
273,physician,Houston,BLS PALS CPR,Master,advanced,night shift,26
274,physician,Houston,ACLS PALS BLS,Master,entry-level,part-time,16
275,physician,Houston,PALS ACLS NRP CPR,Master,advanced,part-time,12
276,physician,Philadelphia,NRP,Master,intermediate,night shift,16
277,physician,Houston,ACLS PALS,Master,advanced,day shift,3
278,physician,Houston,CPR PALS,Master,advanced,full-time,3
279,physician,Houston,BLS CPR ACLS NRP,Master,advanced,full-time,10
280,physician,Chicago,NRP CPR BLS,Master,intermediate,part-time,3
281,physician,Chicago,CPR BLS NRP ACLS PALS,Master,entry-level,day shift,2
282,physician,Philadelphia,CPR PALS,Master,entry-level,full-time,17
283,physician,Chicago,PALS,Master,advanced,part-time,14
284,physician,Philadelphia,CPR PALS,Master,intermediate,night shift,17
285,physician,Chicago,BLS PALS,Master,entry-level,night shift,7
286,physician,New York,NRP PALS CPR ACLS,Master,intermediate,night shift,18
287,physician,Houston,CPR PALS BLS NRP,Master,entry-level,full-time,23
288,physician,New York,CPR ACLS PALS NRP,Master,entry-level,night shift,22
289,physician,Houston,CPR ACLS PALS NRP,Master,advanced,day shift,18
290,physician,Los Angeles,CPR ACLS,Master,intermediate,full-time,19
291,physician,Chicago,ACLS CPR,Master,intermediate,full-time,4
292,physician,Houston,NRP,Master,entry-level,day shift,21
293,physician,Philadelphia,BLS ACLS CPR NRP,Master,entry-level,part-time,16
294,physician,Chicago,PALS NRP BLS CPR,Master,advanced,full-time,22
295,physician,New York,NRP BLS CPR,Master,intermediate,night shift,10
296,physician,Los Angeles,NRP BLS ACLS CPR,Master,entry-level,day shift,28
297,physician,Los Angeles,PALS CPR,Master,advanced,full-time,28
298,physician,Chicago,NRP,Master,intermediate,full-time,29
299,physician,Philadelphia,NRP PALS,Master,intermediate,night shift,21
300,physician,Houston,CPR ACLS PALS NRP,Master,intermediate,full-time,13
301,physician,Houston,PALS,Master,entry-level,day shift,8
302,physician,Houston,NRP PALS CPR BLS,Master,intermediate,part-time,14
303,physician,Houston,PALS BLS NRP ACLS CPR,Master,advanced,night shift,22
304,physician,New York,PALS NRP BLS ACLS CPR,Master,advanced,night shift,13
305,physician,Houston,BLS,Master,entry-level,part-time,26
306,physician,Houston,ACLS NRP,Master,entry-level,part-time,21
307,physician,Chicago,ACLS,Master,advanced,day shift,18
308,physician,Chicago,BLS,Master,advanced,night shift,20
309,physician,Los Angeles,NRP CPR PALS BLS ACLS,Master,entry-level,night shift,15
310,physician,Chicago,NRP CPR PALS BLS ACLS,Master,entry-level,day shift,1
311,physician,New York,NRP ACLS,Master,intermediate,day shift,25
312,physician,Philadelphia,ACLS BLS PALS NRP CPR,Master,intermediate,part-time,8
313,physician,Chicago,NRP CPR BLS PALS ACLS,Master,intermediate,full-time,30
314,physician,Chicago,NRP,Master,entry-level,day shift,28
315,physician,Philadelphia,NRP BLS,Master,entry-level,full-time,20
316,physician,Los Angeles,ACLS PALS CPR NRP BLS,Master,advanced,part-time,25
317,physician,Los Angeles,BLS,Master,intermediate,night shift,10
318,physician,Chicago,CPR NRP PALS BLS ACLS,Master,intermediate,full-time,2
319,physician,Houston,PALS BLS,Master,entry-level,part-time,25
320,physician,Chicago,NRP PALS CPR ACLS,Master,advanced,day shift,20
321,physician,Houston,CPR BLS ACLS NRP PALS,Master,intermediate,night shift,5
322,physician,Los Angeles,NRP PALS,Master,intermediate,day shift,3
323,physician,Philadelphia,ACLS BLS CPR,Master,advanced,part-time,2
324,physician,Houston,PALS CPR,Master,entry-level,night shift,8
325,physician,Los Angeles,PALS NRP BLS ACLS CPR,Master,intermediate,full-time,14
326,physician,Houston,BLS CPR ACLS,Master,intermediate,day shift,27
327,physician,Philadelphia,PALS CPR,Master,advanced,part-time,6
328,physician,Houston,NRP,Master,advanced,part-time,8
329,physician,New York,CPR BLS NRP,Master,entry-level,night shift,23
330,physician,Houston,ACLS,Master,advanced,part-time,11
331,physician,Los Angeles,NRP,Master,intermediate,night shift,30
332,physician,Houston,BLS CPR PALS,Master,intermediate,night shift,5
333,physician,Houston,ACLS PALS,Master,entry-level,full-time,3
334,physician,Los Angeles,ACLS NRP,Master,intermediate,part-time,5
335,physician,Houston,PALS CPR ACLS NRP,Master,intermediate,part-time,7
336,physician,Philadelphia,PALS,Master,intermediate,day shift,26
337,physician,Philadelphia,NRP PALS ACLS,Master,intermediate,day shift,6
338,physician,New York,NRP PALS CPR BLS ACLS,Master,intermediate,part-time,24
339,physician,New York,ACLS,Master,intermediate,day shift,1
340,physician,Houston,PALS CPR NRP ACLS,Master,advanced,night shift,29
341,physician,Houston,CPR,Master,entry-level,night shift,18
342,physician,Philadelphia,CPR NRP ACLS BLS,Master,advanced,day shift,2
343,physician,Houston,CPR BLS NRP ACLS,Master,intermediate,part-time,26
344,physician,New York,BLS,Master,entry-level,part-time,18
345,physician,Chicago,CPR NRP BLS ACLS PALS,Master,intermediate,night shift,10
346,physician,Philadelphia,CPR,Master,intermediate,night shift,30
347,physician,New York,CPR ACLS,Master,entry-level,night shift,15
348,physician,Houston,PALS ACLS CPR NRP,Master,entry-level,full-time,27
349,physician,Houston,NRP BLS ACLS,Master,entry-level,full-time,9
350,physician,Philadelphia,BLS,Master,entry-level,full-time,22
351,physician,Houston,PALS NRP CPR,Master,intermediate,night shift,20
352,physician,Los Angeles,PALS,Master,intermediate,full-time,20
353,physician,Los Angeles,BLS,Master,advanced,part-time,5
354,physician,Chicago,PALS ACLS BLS NRP CPR,Master,entry-level,part-time,7
355,physician,Houston,NRP PALS CPR BLS,Master,entry-level,part-time,7
356,physician,New York,BLS CPR PALS,Master,intermediate,part-time,13
357,physician,New York,PALS NRP CPR ACLS,Master,advanced,night shift,10
358,physician,Philadelphia,CPR NRP ACLS,Master,entry-level,day shift,7
359,physician,New York,ACLS CPR PALS BLS,Master,advanced,part-time,20
360,physician,Chicago,NRP BLS,Master,intermediate,night shift,7
361,physician,Chicago,NRP CPR PALS,Master,intermediate,part-time,1
362,physician,New York,BLS ACLS,Master,entry-level,full-time,9
363,physician,Chicago,CPR,Master,intermediate,day shift,2
364,physician,Philadelphia,CPR ACLS BLS,Master,intermediate,full-time,21
365,physician,New York,CPR PALS BLS,Master,intermediate,night shift,11
366,physician,Chicago,CPR,Master,advanced,full-time,26
367,physician,Philadelphia,NRP BLS,Master,entry-level,full-time,12
368,physician,Chicago,NRP CPR BLS PALS,Master,entry-level,full-time,14
369,physician,Philadelphia,PALS ACLS,Master,intermediate,day shift,26
370,physician,Chicago,PALS ACLS CPR BLS,Master,intermediate,day shift,23
371,physician,New York,BLS PALS NRP,Master,entry-level,night shift,27
372,physician,Chicago,PALS,Master,advanced,day shift,9
373,physician,Houston,PALS BLS CPR ACLS NRP,Master,entry-level,part-time,24
374,physician,Los Angeles,BLS PALS,Master,advanced,full-time,17
375,physician,Houston,BLS,Master,entry-level,day shift,24
376,physician,Philadelphia,NRP,Master,intermediate,day shift,26
377,physician,Chicago,BLS NRP,Master,advanced,night shift,17
378,physician,Philadelphia,ACLS NRP PALS BLS,Master,intermediate,full-time,16
379,physician,Philadelphia,ACLS NRP BLS PALS CPR,Master,advanced,part-time,7
380,physician,Chicago,BLS CPR PALS,Master,entry-level,part-time,9
381,physician,New York,CPR NRP ACLS,Master,intermediate,day shift,28
382,physician,Philadelphia,ACLS PALS NRP BLS,Master,advanced,night shift,12
383,physician,Philadelphia,BLS CPR ACLS,Master,intermediate,night shift,9
384,physician,Houston,NRP BLS PALS,Master,advanced,part-time,17
385,physician,New York,CPR PALS,Master,advanced,full-time,7
386,physician,Los Angeles,NRP PALS BLS ACLS CPR,Master,entry-level,night shift,10
387,physician,New York,PALS,Master,advanced,full-time,8
388,physician,Houston,NRP PALS CPR,Master,intermediate,night shift,21
389,physician,Los Angeles,BLS ACLS NRP,Master,entry-level,day shift,15
390,physician,Chicago,BLS,Master,advanced,night shift,13
391,physician,Los Angeles,PALS,Master,intermediate,full-time,21
392,physician,Houston,NRP BLS PALS CPR ACLS,Master,advanced,night shift,17
393,physician,Houston,NRP ACLS PALS,Master,entry-level,part-time,7
394,physician,Los Angeles,PALS NRP ACLS BLS CPR,Master,advanced,part-time,16
395,physician,Los Angeles,CPR ACLS,Master,entry-level,night shift,19
396,physician,Houston,CPR ACLS BLS NRP,Master,advanced,night shift,14
397,physician,Chicago,PALS NRP,Master,intermediate,night shift,4
398,physician,Philadelphia,PALS BLS CPR NRP,Master,advanced,day shift,29
399,physician,Philadelphia,PALS BLS CPR NRP ACLS,Master,intermediate,night shift,10
400,physician,Chicago,PALS NRP CPR ACLS BLS,Master,intermediate,night shift,25
401,physician,Philadelphia,CPR PALS NRP ACLS,Master,entry-level,part-time,30
402,physician,New York,PALS,Master,intermediate,full-time,30
403,physician,Los Angeles,CPR BLS PALS ACLS NRP,Master,entry-level,night shift,23
404,physician,New York,CPR ACLS NRP BLS PALS,Master,entry-level,part-time,30
405,physician,New York,NRP PALS ACLS BLS CPR,Master,advanced,part-time,15
406,physician,New York,ACLS NRP PALS,Master,advanced,full-time,8
